RNUM,MEDIATITLE,PLACENAME,ADDRESS
6844,사이코지만 괜찮아,시크릿블루베이커리카페,강원도 고성군 토성면 아야진북길 31-6
6845,사이코지만 괜찮아,설악한옥민박,강원도 속초시 상도문길 58
6846,사이코지만 괜찮아,설악해변,강원도 양양군 강현면 뒷나루2길 5-8
6847,사이코지만 괜찮아,사니다카페,강원도 원주시 호저면 칠봉로 109-128
6857,사이코지만 괜찮아,옥정호,전라북도 임실군 운암면 운종리 473-9
6858,"사임당, 빛의 일기",하슬라아트월드,강원도 강릉시 강동면 율곡로 1441
6859,"사임당, 빛의 일기",오봉산 마당바위,경상북도 경주시 서면 천촌리
6861,사춘기 메들리,연기복싱체육관,세종특별자치시 조치원읍 새내13길 7
6878,상속자들,동해 논골담길,강원도 동해시 논골1길 2
8063,"서른, 아홉",스퀘어루트,강원도 고성군 죽왕면 가향길 2-7
8080,"서른, 아홉",장흥교도소 세트장,전라남도 장흥군 장흥읍 원도리 191
8123,"선배, 그 립스틱 바르지 마요",쏠비치호텔&리조트 삼척,강원도 삼척시 수로부인길 453
8144,설강화,합천 영상 테마파크,경상남도 합천군 용주면 합천호수로 757
8145,설강화,계명대학교 성서캠퍼스,대구광역시 달서구 달구벌대로 1095
8146,설강화,쎄라비음악다방,대구광역시 중구 국채보상로102길 60
8150,설강화,선문대학교 천안캠퍼스,충청남도 천안시 동남구 천안대로 277
8151,설강화,청남대,충청북도 청주시 상당구 문의면 청남대길 646
8234,세상 어디에도 없는 착한남자,추암해수욕장,강원도 동해시 촛대바위길 2
8235,세상 어디에도 없는 착한남자,동피랑 벽화마을,경상남도 통영시 동피랑1길 6-18
8245,세상에서 제일 예쁜 내 딸,남이섬,강원도 춘천시 남산면 남이섬길 1
8246,세상에서 제일 예쁜 내 딸,거례리 사랑나무,강원도 화천군 하남면 거례리 484-2
8314,소년심판,전주지방법원,전라북도 전주시 덕진구 가인로 33
8315,소년심판,전주대학교,전라북도 전주시 완산구 천잠로 303
8326,쇼핑왕 루이,천마산에코하우스,부산광역시 서구 천마산로 342
8327,쇼핑왕 루이,광안리해수욕장,부산광역시 수영구 광안해변로 219
8328,쇼핑왕 루이,보수동 책방 골목,부산광역시 중구 대청로 67-1
8329,쇼핑왕 루이,동백섬,부산광역시 해운대구 동백로 99
8462,순정에 반하다,대명비발디파크,강원도 홍천군 서면 한치골길 262
8519,슈츠,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207
8610,스물다섯 스물하나,주문리,강원도 강릉시 주문진읍 소돌길 42-23
8611,스물다섯 스물하나,동해 논골담길,강원도 동해시 논골1길 2
8612,스물다섯 스물하나,춘천대교,강원도 춘천시 근화동 609
8613,스물다섯 스물하나,김유정역 폐역,강원도 춘천시 신동면 김유정로 1435
8615,스물다섯 스물하나,경주역,경상북도 경주시 원화로 266
