RNUM,MEDIATITLE,PLACENAME,ADDRESS
451,49일,청계천,"서울특별시 종로구 서린동 148"
452,49일,중앙고등학교,"서울특별시 종로구 창덕궁길 164"
453,49일,필운대로5가,"서울특별시 종로구 필운대로5가길"
454,49일,대룡시장,"인천광역시 강화군 교동면 대룡리 1103-11"
455,49일,마이산탑사,"전라북도 진안군 마령면 마이산남로 367"
456,49일,"부귀 메타세쿼이아길","전라북도 진안군 북귀면 세동리 모래재로 69-15"
457,"60일, 지정생존자","합천 영상 테마파크","경상남도 합천군 용주면 합천호수로 757"
458,"60일, 지정생존자",국립대전현충원,"대전광역시 유성구 현충원로 251"
459,"60일, 지정생존자",서강대교,"서울특별시 영등포구 여의도동 서강대교"
460,"60일, 지정생존자","한강 공원 여의도 지구","서울특별시 영등포구 여의동로 290"
461,"60일, 지정생존자",국회의사당,"서울특별시 영등포구 의사당대로 1"
462,"60일, 지정생존자",탑골공원,"서울특별시 종로구 종로 99"
719,"7급 공무원","아브뉴프랑 판교","경기도 성남시 분당구 동판교로177번길 25"
720,"7일의 왕비",닭실마을,"경상북도 봉화군 봉화읍 충재길 60"
721,"7일의 왕비","보리나라 학원농장","전라북도 고창군 공음면 학원농장길 154"
722,"7일의 왕비",궁남지,"충청남도 부여군 부여읍 궁남로 52"
723,"99억의 여자","리븐델 게스트하우스","경기도 가평군 청평면 고재길 262-46"
724,"99억의 여자",안성팜랜드,"경기도 안성시 공도읍 대신두길 28"
725,"99억의 여자",호텔엔트라,"서울특별시 강남구 도산대로 508"
726,"9회말 2아웃",일산호수공원,"경기도 고양시 일산동구 호수로 731"
727,"9회말 2아웃",N서울타워,"서울특별시 용산구 남산공원길 105"
728,"9회말 2아웃",고브리또스커피,"인천광역시 남동구 인주대로 600"
729,"9회말 2아웃",인천국제공항,"인천광역시 중구 공항로 272"
730,"9회말 2아웃",마이랜드,"인천광역시 중구 월미로234번길 7"
731,가면,일산호수공원,"경기도 고양시 일산동구 호수로 731"
732,가면,"체인지업캠퍼스 양평캠프","경기도 양평군 용문면 연수로 209"
733,가면,벽초지수목원,"경기도 파주시 광탄면 부흥로 242"
734,가면,루카511,"서울특별시 강남구 도산대로81길 40"
735,가면,서울대학교,"서울특별시 관악구 관악로 1"
736,가면,"서울특별시 보라매병원","서울특별시 동작구 보라매로5길 20"
737,가면,코스콤빌딩,"서울특별시 영등포구 여의나루로4길 21"
738,가면,"담양 관방제림","전라남도 담양군 담양읍 객사7길 37"
739,가면,죽녹원,"전라남도 담양군 담양읍 죽녹원로 119"
740,가면,"메타세쿼이아 가로수길","전라남도 담양군 담양읍 학동리 633"
741,가면,제이딘주얼리,"전라북도 전주시 완산구 전라감영4길 19"
742,가시리잇고,"신세계백화점 본점","서울특별시 중구 소공로 63"
743,가시리잇고,"한국의 집","서울특별시 중구 퇴계로36길 10"
