mediatitle,place_name,address,positive_ratio,latitude,longitude
남자친구,외옹치 바다향기로,강원도 속초시 대포동 712,1.0,38.181699,128.610715
남자친구,롯데리조트 속초,강원도 속초시 대포항길 186,0.875,38.180679,128.61177
내게 거짓말을 해봐,베어트리파크,세종특별자치시 전동면 신송로 217,0.25,36.670592,127.209267
공작도시,뮤지엄 산,강원도 원주시 지정면 오크밸리2길 260,0.7647058823529411,37.418903,127.82302
"단, 하나의 사랑",합덕성당,충청남도 당진시 합덕읍 합덕성당2길 22,0.9230769230769232,36.792792,126.78554
달리와 감자탕,오크밸리 리조트,강원도 원주시 지정면 오크밸리1길 66,0.7222222222222222,37.434485,127.817496
"단, 하나의 사랑",합덕성당,충청남도 당진시 합덕읍 합덕성당2길 22,0.9230769230769232,36.792792,126.78554
나의 나라,반곡지,경상북도 경산시 남산면 반곡리 246,0.8461538461538461,35.780498,128.806454
검법남녀 2,부용대,경상북도 안동시 풍천면 광덕솔밭길 72,0.8333333333333334,36.542914,128.51663
달의 연인 - 보보경심 려,아홉산숲,부산광역시 기장군 철마면 웅천리 520-10,0.4666666666666667,35.2879959,129.169638
달의 연인 - 보보경심 려,사성암,전라남도 구례군 문척면 사성암길 303,0.8333333333333334,35.180003,127.4806
간택 - 여인들의 전쟁,광한루원,전라북도 남원시 요천로 1447,1.0,35.403918,127.379758
달의 연인 - 보보경심 려,내소사,전라북도 부안군 진서면 내소사로 243,0.9411764705882352,35.617773,126.58724
달의 연인 - 보보경심 려,백제문화단지,충청남도 부여군 규암면 백제문로 455,0.7692307692307693,36.3069,126.9066
달의 연인 - 보보경심 려,온달관광지,충청북도 단양군 영춘면 온달로 23,0.6153846153846154,37.0628902,128.49172
군검사 도베르만,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207,0.8333333333333334,36.069334,126.93158
더 케이투,기지포해수욕장,충청남도 태안군 안면읍 해안관광로 745-19,0.6428571428571429,36.562608,126.32187
군검사 도베르만,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207,0.8333333333333334,36.069334,126.93158
나빌레라,합천 영상 테마파크,경상남도 합천군 용주면 합천호수로 757,0.75,35.5489346,128.072475
도도솔솔라라솔,청춘게스트하우스,전라남도 목포시 달성길 39,0.8,34.792199,126.37692
도도솔솔라라솔,유달산,전라남도 목포시 죽교동 산 27-1,1.0,34.789202,126.37829
도시남녀의 사랑법,이이남스튜디오,광주광역시 남구 제중로47번길 10,0.7692307692307693,35.139174,126.91284
돈꽃,을숙도,부산광역시 사하구 하단동 1207,1.0,35.10662,128.94309
드림,죽성드림세트장,부산광역시 기장군 기장읍 죽성리 134-7,0.9285714285714286,35.240998,129.24845
따뜻한 말 한마디,장사도 해상공원 까멜리아,경상남도 통영시 한산면 장사도길 55,0.8,34.713673,128.55885
땐뽀걸즈,고현버스터미널,경상남도 거제시 고현천로 10,0.5,34.89104,128.62426
땐뽀걸즈,바람의언덕,경상남도 거제시 남부면 갈곶리 산 14-47 도장포마을,0.6428571428571429,34.74336,128.6633
땐뽀걸즈,광안리해수욕장,부산광역시 수영구 광안해변로 219,1.0,35.153308,129.118862
또! 오해영,낙산 해수욕장,강원도 양양군 강현면 해맞이길 59,1.0,38.1164806,128.63426
또! 오해영,신성리 갈대밭,충청남도 서천군 한산면 신성리 125-1,0.6875,36.068336,126.86074
나의 나라,궁남지,충청남도 부여군 부여읍 궁남로 52,0.9333333333333332,36.269619,126.91224
라이브,중앙 경찰학교,충청북도 충주시 수안보면 수회리로 138,0.8,36.877166,127.981807
라이프 온 마스,양산종합운동장,경상남도 양산시 양산대로 849,1.0,35.344926,129.032214
라이프 온 마스,대전 근현대사 전시관,대전광역시 중구 중앙로 101,0.5714285714285714,36.3266855,127.420912
달의 연인 - 보보경심 려,아홉산숲,부산광역시 기장군 철마면 웅천리 520-10,0.4666666666666667,35.2879959,129.169638
라이프 온 마스,감천문화마을,부산광역시 사하구 감내2로 203,0.7272727272727273,35.097412,129.010584
라이프 온 마스,국립해양박물관,부산광역시 영도구 해양로301번길 45,0.75,35.078654,129.080216
나빌레라,합천 영상 테마파크,경상남도 합천군 용주면 합천호수로 757,0.75,35.5489346,128.072475
런온,동해망상해변한옥촌,강원도 동해시 동해대로 6370,0.5,37.602611,129.07614
런온,이가리 닻전망대,경상북도 포항시 북구 청하면 이가리 산 67-3,1.0,36.188061,129.37937
런온,전주영화의거리,전라북도 전주시 완산구 고사동 전주객사4길,1.0,35.821257,127.14415
런온,성산보말죽칼국수 성산점,제주특별자치도 서귀포시 성산읍 해맞이해안로 2725,0.6666666666666666,33.471696,126.91715
거침없이 하이킥,해비치호텔앤드리조트,제주특별자치도 서귀포시 표선면 민속해안로 537,0.7333333333333333,33.3235675,126.844477
나를 사랑한 스파이,제주국제공항,제주특별자치도 제주시 공항로 2,0.8125,33.506548,126.49304
레버리지:사기조작단,제주신화월드,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,1.0,33.302652,126.31653
로망스,여좌천,경상남도 창원시 진해구 여좌동 217,1.0,35.154337,128.65927
또! 오해영,낙산 해수욕장,강원도 양양군 강현면 해맞이길 59,1.0,38.1164806,128.63426
로봇이 아니야,여차몽돌해수욕장,경상남도 거제시 남부면 여차길 22,0.75,34.713819,128.62677
로봇이 아니야,수산자연산횟집,경상남도 거제시 동부면 거제대로 1080-12,0.8181818181818182,34.777783,128.6529
로봇이 아니야,거제수협구조라공판장,경상남도 거제시 일운면 구조라로 59,1.0,34.804164,128.69623
나의 나라,성흥산 사랑나무,충청남도 부여군 임천면 성흥로97번길 167,0.7333333333333333,36.1971825,126.898347
마이 걸,롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35,0.875,33.2483112,126.410594
(아는 건 별로 없지만) 가족입니다,파도리해수욕장,충청남도 태안군 소원면 파도길 63-12,0.6,36.738979,126.13356
마이 시크릿 호텔,포레스트 리솜,충청북도 제천시 백운면 금봉로 365,0.8125,37.15796,128.04624
내게 거짓말을 해봐,베어트리파크,세종특별자치시 전동면 신송로 217,0.25,36.670592,127.209267
마인,세이지우드 홍천,강원도 홍천군 두촌면 광석로 898-160,0.9,37.886097,128.11847
나를 사랑한 스파이,제주국제공항,제주특별자치도 제주시 공항로 2,0.8125,33.506548,126.49304
맨도롱 또똣,봄날,제주특별자치도 제주시 애월읍 애월로1길 25,1.0,33.462462,126.309591
맨투맨,사우스케이프오너스클럽,경상남도 남해군 창선면 흥선로 1545,0.6153846153846154,34.836501,128.07449
맨홀-이상한 나라의 필,등명해변,강원도 강릉시 강동면 정동진리 440-7,0.8125,37.704451,129.01646
멜랑꼴리아,휘게비엔씨,강원도 강릉시 주문진읍 신리천로 318-24,1.0,37.878647,128.79909
달리와 감자탕,오크밸리 리조트,강원도 원주시 지정면 오크밸리1길 66,0.7222222222222222,37.434485,127.817496
멜랑꼴리아,국립중앙과학관,대전광역시 유성구 대덕대로 481,0.75,36.376229,127.37525
꽃보다 남자,휘닉스제주 섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,0.4285714285714285,33.429078,126.93397
나를 사랑한 스파이,제주국제공항,제주특별자치도 제주시 공항로 2,0.8125,33.506548,126.49304
멜랑꼴리아,아르떼뮤지엄 제주,제주특별자치도 제주시 애월읍 어림비로 478,0.8,33.396696,126.34505
나빌레라,합천 영상 테마파크,경상남도 합천군 용주면 합천호수로 757,0.75,35.5489346,128.072475
모범형사,문창동광천순대,대전광역시 중구 대전천서로 337,0.875,36.320564,127.435988
미남이시네요,공세리성당,충청남도 아산시 인주면 공세리성당길 10,0.8888888888888888,36.883404,126.914041
미스터 션샤인,황매산,경상남도 산청군 차황면 법평리 산 1,0.8235294117647058,35.486018,127.97475
미스터 션샤인,화왕산성,경상남도 창녕군 창녕읍 옥천리 산322,1.0,35.546106,128.537389
나빌레라,합천 영상 테마파크,경상남도 합천군 용주면 합천호수로 757,0.75,35.5489346,128.072475
미스터 션샤인,삼릉숲,경상북도 경주시 배동,1.0,35.798733,129.208281
미스터 션샤인,만휴정,경상북도 안동시 길안면 묵계하리길 42,0.6666666666666666,36.41043,128.9099
미스터 션샤인,문화공감수정,부산광역시 동구 홍곡로 75,0.9333333333333332,35.125713,129.042622
미스터 션샤인,부안영상테마파크,전라북도 부안군 반석면 격포로 309-64,0.6,35.620633,126.48247
미스터 션샤인,선샤인스튜디오,충청남도 논산시 연무읍 봉황로 90,0.5714285714285714,36.102539,127.10657
미스터 션샤인,운보의 집,충청북도 청주시 청원구 내수읍 형동2길 92-41,0.4615384615384615,36.692197,127.5651
