drama,review
낭만닥터 김사부 2,가끔 좀 오글거려도 뭐 어떤가 싶고. 제목에 어울리게 낭만적임.
내 뒤에 테리우스,소소한 재미가 많아서 보고있는데 일부러 페러디를 작정하고 연출한건가? ㅎㅎ
내 아이디는 강남미인,은우야 재밌다
내 아이디는 강남미인,"첫 화 오프닝이랄까 발단이랄까, 절절하다."
내게 거짓말을 해봐,오에스티가 좋다
내일,결국 만났네
내일 그대와,머리비우고 즐기며 보는 동안 행복했다
내일 그대와,소재는 익숙하나 사이에들어가는 스토리는 평범하면서 평범하지않다 그래서 더보는거같다
내일 그대와,분위기가 정말 예쁘다..... 분위기 소재 연기 연출..... 다 너무나 맘에 든다
내일 그대와,오늘.
내일 그대와,무슨 정신으로 다봤는지 기억이...^^
내일 그대와,잘생겼당~
너는 나의 봄,보는 동안 따뜻했고 위로 받았고 그걸로 충분했다
너는 나의 봄,위로받는듯한 드라마
너는 나의 봄,한 권의 책 같았던 드라마. 담담하고 잔잔한 수평선을 보는 것처럼 차분하고 따듯해진다.
너는 나의 봄,스릴러같기도 로맨스같기도 힐링같기도
너는 나의 봄,불친절하지만 새롭다
너는 나의 봄,따뜻하고 좋은데
너도 인간이니,댓글이 웃겨서 +0.5
너도 인간이니,시도는 좋았다. 용감했다.
너를 닮은 사람,분위기 취향저격
너를 닮은 사람,이런 느린 흐름의 드라마도 필요하다. 용서에 대해 생각해 볼 수 있는 시간.
너와 나의 경찰수업,생각보다 청춘물이라 재미가 쏠쏠하군
너와 나의 경찰수업,재밌어요 이런 가볍고 간질간질 설렘도 살짝 있는 드라마 오랜만
너와 나의 경찰수업,보고 있으면 저절로 미소가 지어지는. 오랜만에 기분좋게 볼 수 있는 드라마가 있어 좋아요. 서툴지만 반짝 반짝 빛나는 청춘들의 이야기가 잔잔하게 행복을 주는 드라마네요.
너와 나의 경찰수업,살랑살랑 기분좋게 볼수 있는 드라마
너와 나의 경찰수업,재미있고 설레고 멋짐이 다 있는 드라마
너의 밤이 되어줄게,가볍게 시작했다가 이게 왜… 재미있지? 하면서 보게 됨
"단, 하나의 사랑",보는 맛이 있는걸 어떡해 ㅎ
달리와 감자탕,달감과 함께한 가을… 행복했다…
달리와 감자탕,귀엽고 유쾌한 드라마
달의 연인 - 보보경심 려,난 좋다. 특히 강하늘 심쿵.
당신이 잠든 사이에,너의 삼재가 보여.
당신이 잠든 사이에,내 맘에 쏙
당신이 잠든 사이에,전개 나쁘지 않은데
대박,unexpectedly very fun!!
대박,후반으로 갈 수록 몰입되면서 더 재밌어진다
대박,오 은근히 재미있어
더 케이투,넘넘 좋아요
더킹 투하츠,그냥 재밌게 봄
도도솔솔라라솔,유치한데 귀엽다 ㅋㅋㅋㅋ 둘의케미도 좋앗고
도도솔솔라라솔,대충 만든 느낌.
도도솔솔라라솔,마을 분위기가 너무 좋다. 약간의 힐링.
도시남녀의 사랑법,"나는 무섭다, 안 된다, 부끄럽다, 망설인다, 주저한다, 고민한다 이런 생각들은 이제 안 하기로 결심했어 하나씩 하나씩 내 사전에서 지워가고 있는 중이야"
도시남녀의 사랑법,"나'답고', '답지 않고'를 생각하지 말기 내 모든 모습이 전부 나라는 걸 받아들이기 무섭다, 망설인다, 부끄럽다, 고민한다 내가 느끼는 모든 감정이 전부 나라는 걸 받아들이기 사랑은 상대방의 모든 모습을 받아들이는 것"
도시남녀의 사랑법,표현방식이 퍽 좋다
독고 리와인드,과제물인가.
독고 리와인드,유치한데 그게 장점인 작품
돈꽃,아빠엄마가 보시기 시작하심.ㅋㅋ
돈꽃,필주 웃는거 좀 보자!!!!! 너무하다 너무해
돈꽃,보다보니 재밌다.
돈꽃,뭔가 있을 뻔 하다 맘.
동이,이야기보다는 '한효주' 의 매력을 느낄 수 있었던.
드라마의 제왕,나만 재밌었나...
드라마의 제왕,최시원은 이때부터 웃기기 시작했다 ㅋㅋㅋ
드라마의 제왕,안 돼! 몰입하지마... 부러워하지마~
드라마의 제왕,후반부로 갈수록 몰입도가 떨어졌고..(이하 생략)
드라마의 제왕,볼만했어
드림,노래는 좋았는데..
따뜻한 말 한마디,시선의 차이. 진심 전달의 중요성.
따뜻한 말 한마디,현실적이다
따뜻한 말 한마디,내가참여한작품!
땐뽀걸즈,"무엇이든 과정과 결실, 그 안에서의 관계가 주는 기쁨은 참 좋다. 노력할수록 더더욱. 그걸 느껴본 지가 참 오래된 것 같다. / 친숙한 풍경 속 몰랐던 이야기 / 학생들의 에너지가 대단하다 ㅎㅎ - CGV 통영 1520 6E5"
땐뽀걸즈,"어, 개이득."
또! 오해영,왠지인생드라마가될느낌적인느낌
라디오 로맨스,윤두준 덕분에 행복했다.
